book_code,person_counter,role
52246,1560,writer
81332,1561,writer
57879,1562,writer
57879,1563,translator
40774,1564,writer
40774,1565,translator
74348,408,writer
1318,1567,writer
1318,1568,translator
49184,261,writer
49184,1571,translator
47389,1572,writer
47389,1573,translator
23428,1574,writer
42493,1575,writer
121067,32,writer
26610,1576,writer
26610,1577,translator
99187,1578,writer
24744,1579,writer
24744,1580,translator
87931,1581,writer
106672,1583,writer
106672,1584,translator
32698,1582,writer
32698,1274,translator
116441,1585,writer
103286,1586,writer
103286,1587,translator
96553,1588,writer
96553,1589,writer
65651,1590,writer
65651,1591,translator
65651,1592,translator
95799,1354,writer
96402,1593,writer
96402,1594,translator
86056,1595,writer
30189,1596,writer
30189,1597,translator
76070,1598,writer
14512,1599,writer
14512,599,translator
38762,1600,writer
94590,67,writer
94590,170,translator
21281,732,writer
95848,1601,writer
911,1602,writer
911,1603,writer
911,1254,translator
110861,1607,writer
121369,1608,writer
121369,1609,translator
40280,1610,writer
40280,1611,translator
109525,253,writer
44962,1614,writer
44962,67,translator
44962,1615,translator
57292,1616,writer
73660,1617,writer
92692,1621,writer
92692,1622,translator
22565,1623,writer
22565,1624,translator
69869,1625,writer
62129,1626,writer
62129,1627,translator
6634,1631,writer
6634,1632,writer
6634,1633,translator
67789,1635,writer
67789,1636,translator
18069,1638,writer
18069,1639,translator
57816,1641,writer
16319,989,writer
16319,67,writer
16319,1642,translator
109185,1643,writer
73071,1644,writer
73071,1645,translator
52848,1646,writer
46591,1647,writer
46591,1648,translator
105517,1649,writer
105517,1650,translator
65097,1651,writer
2809,1652,writer
2809,1653,translator
2809,1654,translator
50039,1655,writer
50039,1656,translator
105236,1657,writer
105236,1658,translator
97264,1659,writer
97264,1660,writer
115952,1661,writer
115952,1662,translator
67569,1663,writer
20996,1664,writer
20996,459,translator
110569,1665,writer
72679,476,writer
111009,1666,writer
111009,1390,translator
117267,1667,writer
19101,1668,writer
19101,1669,translator
98615,1670,writer
98615,1671,translator
73976,1673,writer
42642,1674,writer
34836,1675,writer
34836,1676,translator
55075,1679,writer
86880,1680,writer
86880,1681,translator
72016,1677,writer
91600,67,writer
91600,1682,writer
82861,1684,writer
82861,1685,translator
15356,1688,writer
60191,129,writer
60191,1689,translator
84644,1691,writer
95902,1692,writer
95902,1693,writer
95902,1694,translator
95902,1695,translator
16567,1626,writer
16567,1696,translator
108553,1697,writer
108553,1698,translator
16380,1699,writer
100564,1701,writer
100564,1702,translator
43976,1703,writer
82922,1704,writer
82922,1705,translator
5863,1325,writer
60282,249,writer
60282,1706,translator
109352,1707,writer
38560,1708,writer
108028,999,writer
108028,530,writer
50963,1709,writer
50963,1710,translator
98320,1711,writer
98320,1712,translator
22095,887,writer
20710,1713,writer
92417,1715,writer
92417,1716,translator
119535,982,writer
119535,1717,translator
54353,1718,writer
101896,1719,writer
73634,1170,writer
115957,673,writer
25100,1721,writer
25100,1722,translator
14242,1723,writer
43403,1227,writer
43403,1228,translator
84820,1724,writer
44919,1725,writer
47287,1727,writer
47287,116,translator
105797,1728,writer
96991,1729,writer
96991,1730,translator
47180,1731,writer
53907,1732,writer
53907,1580,translator
45211,1733,writer
45211,1734,translator
43445,298,writer
61038,1457,writer
92970,1735,writer
24732,67,writer
24732,264,translator
57615,1737,writer
85114,1738,writer
85114,1739,translator
81781,1740,writer
62913,1741,writer
62913,1742,translator
112404,1266,writer
84423,1743,writer
5184,1744,writer
5184,1745,translator
49465,1746,writer
28439,1747,writer
1681,1749,writer
1681,1750,translator
80577,1751,writer
29067,1752,writer
29067,1753,translator
116503,1754,writer
31796,1755,writer
54953,1756,writer
54953,1011,translator
59267,1506,writer
59267,1757,translator
16374,1758,writer
